Sample	Fws
BBH-1-125	0.99556494
BBH_1_132	0.9961623
BBH_1_137	0.96890026
BBH_1_153	0.68960094
BBH_1_162	0.53956264
Brazil01	0.7432823000000001
Brazil32	0.99502236
Brazil_Belem	0.9991838
Brazil_I	0.9982926999999999
Colombia_30101099036	0.9991209999999999
Colombia_30101099038	0.99919283
Colombia_30101099040	0.9988516
Colombia_30102100437	0.9984267
Colombia_30102100438-B	0.9963624
Colombia_30102100439	0.9991501
Colombia_30102100440	0.99711007
Colombia_30102100441-B	0.99766344
Colombia_30102100443-B	0.99327546
Colombia_30102100445	0.9989203000000001
Colombia_30102100446	0.99775815
Colombia_30102100448	0.9984886999999999
Colombia_30102100449	0.9993013000000001
Colombia_30102100485	0.9966473
Colombia_30102100486	0.9979165999999999
Colombia_30102100487	0.99759877
Colombia_30102100488	0.99836785
Colombia_30102100489	0.99673384
Colombia_30102100490	0.997667
Colombia_30102100491	0.79395354
Colombia_30102100492	0.9964857
Colombia_30102100493	0.99751544
Colombia_30102100504	0.9968625
Colombia_30103103280	0.99862134
Colombia_30103103295	0.99723715
Colombia_30111110015	0.7613555000000001
Colombia_30111110020	0.9973820999999999
Colombia_30111110026	0.9988593000000001
HT_1_144	0.98207945
HT_1_147	0.99470884
HT_2_112	0.97458464
IVC09-BB-0012	0.99622524
IVC09-OM-0012	0.9963249
IVC09-OM-0015	0.99784553
IVC09-OM-0018	0.6478173
IVC09-OM-0032	0.7100721
IVC09-OM-0044	0.99757177
IVC09-OM-0046	0.9981114
IVC09-OM-0076	0.79149765
IVC09-OM-0078	0.9254253
IVC09-OM-0092	0.98460674
IVC09-OM-0093	0.86557955
IVC09-OM-0099	0.9985806
IVC09-OM-0114	0.9966486999999999
IVC09-OM-0115	0.51791304
IVC09-OM-0118	0.99589837
IVC09-OM-0124	0.997187
IVC09-OM-0141	0.6945041999999999
IVC09-OM-0142	0.4664706
IVC09-OM-0143	0.68537396
IVC09-OM-0146	0.99585694
IVC09-OM-0164	0.9959466999999999
IVC09-OM-0192	0.7190949999999999
IVC09-OM-0208	0.5066594
IVC09-OM-0214	0.97590166
IVC09-OM-0220	0.9958836
IVC09-OM-0236	0.99887866
IVC09-OM-0244	0.6403079
IVC09-OM-0245	0.7164754
IVC10-BB-0014	0.9967325
IVC10-BB-0016	0.5785103
IVC10-BB-0017	0.6701206000000001
IVC10-BB-0019	0.57288516
IVC10-BB-0021	0.81823117
IVC10-BB-0023	0.9947353000000001
IVC10-BB-0034	0.9519019000000001
IVC10-BB-0035	0.9965173
IVC10-OM-0269	0.9944609000000001
IVC10-OM-0270	0.7172284999999999
IVC10-OM-0271	0.9968429
IVC10-OM-0273	0.99525696
IVC10-OM-0275	0.9964325999999999
IVC10-OM-0282	0.8098245
IVC10-OM-0283	0.92063856
IVC10-OM-0284	0.81053656
IVC10-OM-0292	0.9952924999999999
IVC10-OM-0296	0.9961595
IVC10-OM-0299	0.9949700999999999
IVC10-OM-0300	0.49098632
IVC10-OM-0303	0.65029633
IVC10-OM-0304	0.5100791
IVC10-OM-0305	0.9987708000000001
IVC10-OM-0310	0.40147814
IVC10-OM-0312	0.7062062
IVC10-OM-0313	0.99644816
IVC10-OM-0314	0.9983664000000001
IVC10-OM-0317	0.99924976
