Sample	Study	Site	Site latitude	Site longitude	Country	Year	ENA	All samples same individual	% callable	location_id	continent	date_of_collection	doc_accuracy	partner_sample_id	derivative_sample_id	original_sample_id	sampling_event_id	individual_id	mean_coverage	bases_no_coverage_percent	bases_low_coverage_percent	bases_excessive_coverage_percent	bases_poor_mapping_quality_percent	bases	bases_of_1X_coverage	bases_of_5X_coverage	bases_duplicated	mean_insert_size	sd_insert_size	avg_read_length	error_rate	average_quality	reads_mapped	reads_properly_paired	genome_50pc_callable	preferred_sample_individual	preferred_sample_sampling_event	in_pv_10	in_pv_20	in_pv_30	first_release	dna_prep	id_run	preQC_exclusion_reason	GADM	GADM_0	GADM_1	GADM_2	GADM_3	Species	public_exclusion_reason	median_distance_to_other_samples	internal_exclusion_reason	nearest_sample	nearest_sample_dist	nearest_sample_country	nearest_country	nearest_site	nearest_population	nearest_continent	Continent_mismatch	QC_pass	sub_population	analysis_sub_population	population	analysis_population	colouring_sub_population	in_analysis_set	subpopulation_colour	population_colour
BBH-1-125	X0009-PV-ET-LO	Jimma	7.6833306	36.8513179	Ethiopia	2016	ERR2678989	BBH-1-125	88.52	Jimma	Africa	2016-01-01	year	BBH-1-125	DS_X0009_BBH-1-125	OS_X0009_BBH-1-125	SE_X0009_BBH-1-125	IN_X0009_BBH-1-125	79.94	6.02	2.15	0.0	2.79	2300186828	27584899	27072414	40558950	468.5	124.0	149	0.01532306	27.1	14830673	13809816	True	True	True	False	False	False	4.0	DNA	17862		https://gadm.org/maps/ETH/oromia/jimma.html	ETH	oromia	jimma		Pv	Analysis_set	0.022718537598848343		SGH_1_361	0.01534541789442301	Ethiopia	Ethiopia	Gondar	AF	Africa	None	True	Ethiopia: Oromia	Ethiopia: Oromia	AF	AF	AF: Ethiopia, Oromia	True	#dd5a5c	#e41a1c
BBH_1_132	X0009-PV-ET-LO	Jimma	7.6833306	36.8513179	Ethiopia	2016	ERR2678991	BBH_1_132	90.2	Jimma	Africa	2016-01-01	year	BBH_1_132	DS_X0009_BBH_1_132	OS_X0009_BBH_1_132	SE_X0009_BBH_1_132	IN_X0009_BBH_1_132	396.38	1.45	3.13	0.0	4.7	39521208500	28783485	28314739	18876320495	453.9	133.9	150	0.02435206	25.3	239788032	225021548	True	True	True	False	False	False	4.0	DNA	19564		https://gadm.org/maps/ETH/oromia/jimma.html	ETH	oromia	jimma		Pv	Analysis_set	0.022968361154198647		BBH_1_162	0.011151748709380628	Ethiopia	Ethiopia	Jimma	AF	Africa	None	True	Ethiopia: Oromia	Ethiopia: Oromia	AF	AF	AF: Ethiopia, Oromia	True	#dd5a5c	#e41a1c
BBH_1_137	X0009-PV-ET-LO	Jimma	7.6833306	36.8513179	Ethiopia	2016	ERR2679003	BBH_1_137	87.09	Jimma	Africa	2016-01-01	year	BBH_1_137	DS_X0009_BBH_1_137	OS_X0009_BBH_1_137	SE_X0009_BBH_1_137	IN_X0009_BBH_1_137	66.09	4.72	5.57	0.0	2.11	2207434469	27928375	26727049	736257729	383.1	96.9	150	0.01675185	26.5	12364737	11959499	True	True	True	False	False	False	4.0	DNA	21123		https://gadm.org/maps/ETH/oromia/jimma.html	ETH	oromia	jimma		Pv	Analysis_set	0.022836141288280487		JHC_2_216	0.014338768087327482	Ethiopia	Ethiopia	Jimma	AF	Africa	None	True	Ethiopia: Oromia	Ethiopia: Oromia	AF	AF	AF: Ethiopia, Oromia	True	#dd5a5c	#e41a1c
BBH_1_153	X0009-PV-ET-LO	Jimma	7.6833306	36.8513179	Ethiopia	2016	ERR2678992	BBH_1_153	90.6	Jimma	Africa	2016-01-01	year	BBH_1_153	DS_X0009_BBH_1_153	OS_X0009_BBH_1_153	SE_X0009_BBH_1_153	IN_X0009_BBH_1_153	81.17	2.6	3.06	0.0	3.23	2639007860	28460041	27934343	670258951	432.6	119.3	150	0.02210321	25.6	15520506	14748341	True	True	True	False	False	False	4.0	DNA	19564		https://gadm.org/maps/ETH/oromia/jimma.html	ETH	oromia	jimma		Pv	Analysis_set	0.022902008146047592		JHC_2_216	0.01428261026740074	Ethiopia	Ethiopia	South Nations Nationalities and Peoples' Region	AF	Africa	None	True	Ethiopia: Oromia	Ethiopia: Oromia	AF	AF	AF: Ethiopia, Oromia	True	#dd5a5c	#e41a1c
BBH_1_162	X0009-PV-ET-LO	Jimma	7.6833306	36.8513179	Ethiopia	2016	ERR2678993	BBH_1_162	91.67	Jimma	Africa	2016-01-01	year	BBH_1_162	DS_X0009_BBH_1_162	OS_X0009_BBH_1_162	SE_X0009_BBH_1_162	IN_X0009_BBH_1_162	92.46	1.13	2.58	0.0	4.1	5649804927	28774539	28360961	989928820	399.3	174.8	149	0.03563553	22.5	24144766	20926885	True	True	True	False	False	False	4.0	DNA	19564		https://gadm.org/maps/ETH/oromia/jimma.html	ETH	oromia	jimma		Pv	Analysis_set	0.022466205060482025		BBH_1_132	0.011151748709380628	Ethiopia	Ethiopia	Jimma	AF	Africa	None	True	Ethiopia: Oromia	Ethiopia: Oromia	AF	AF	AF: Ethiopia, Oromia	True	#dd5a5c	#e41a1c
Brazil01	X0001-PV-MULTI-HUPALO2016	Acrelândia	-10.0	-67.0	Brazil	2011	SRR1564575,SRR1568121	Brazil01	50.16	Acrelândia	Americas	2011-01-01 0:00:00	year	Brazil01	DS_X0001_Brazil01	OS_X0001_Brazil01	SE_X0001_Brazil01	IN_X0001_Brazil01	72.11	22.12	26.45	0.0	0.75	4237686679	22756624	21033334	3490108732	237.6	150.4	99	0.008842026	24.5	41161952	37808178	True	True	True	False	False	True	3.0	Hybrid_selection			https://gadm.org/maps/BRA/acre/acrelandia.html	BRA	acre	acrelandia		Pv	Analysis_set	0.020470915362238884		Peru0839	0.007966183125972748	Peru	Peru	Mazán	SAM	Americas	None	True	Brazil: Acre	unassigned	SAM	SAM	SAM: other	True	#ddf2dc	#4daf4a
Brazil02	X0001-PV-MULTI-HUPALO2016	Plácido de Castro	-10.2	-67.2	Brazil	2011	SRR1564605,SRR1568116	Brazil02	9.39	Plácido de Castro	Americas	2011-01-01 0:00:00	year	Brazil02	DS_X0001_Brazil02	OS_X0001_Brazil02	SE_X0001_Brazil02	IN_X0001_Brazil02	33.98	67.32	22.51	0.0	0.26	3008647944	10450978	3643590	1129272718	215.6	156.0	100	0.009112948000000001	25.0	27949243	26568530	False	True	True	False	False	True	3.0	Hybrid_selection			https://gadm.org/maps/BRA/acre/placidodecastro.html	BRA	acre	placidodecastro		Pv	Less_than_50pc_callable										None	False	Brazil: Acre	unassigned	SAM	unassigned	unassigned	False	#d3d3d3	#d3d3d3
Brazil03	X0001-PV-MULTI-HUPALO2016	Plácido de Castro	-10.2	-67.2	Brazil	2011	SRR1567957,SRR1568197	Brazil03	0.47	Plácido de Castro	Americas	2011-01-01 0:00:00	year	Brazil03	DS_X0001_Brazil03	OS_X0001_Brazil03	SE_X0001_Brazil03	IN_X0001_Brazil03	4.54	71.82	27.14	0.0	0.06	162905455	8755806	1835872	28830854	190.8	128.9	100	0.02013581	16.4	532720	444118	False	True	True	False	False	True	3.0	Hybrid_selection			https://gadm.org/maps/BRA/acre/placidodecastro.html	BRA	acre	placidodecastro		Pv	Less_than_50pc_callable										None	False	Brazil: Acre	unassigned	SAM	unassigned	unassigned	False	#d3d3d3	#d3d3d3
Brazil08	X0001-PV-MULTI-HUPALO2016	Acrelândia	-10.0	-67.0	Brazil	2011	SRR1568176,SRR1568808	Brazil08	5.86	Acrelândia	Americas	2011-01-01 0:00:00	year	Brazil08	DS_X0001_Brazil08	OS_X0001_Brazil08	SE_X0001_Brazil08	IN_X0001_Brazil08	23.74	71.61	21.88	0.0	0.13	1416867948	8856798	3444515	856290120	274.2	204.6	98	0.009450658	24.9	13507571	12080973	False	True	True	False	False	True	3.0	Hybrid_selection			https://gadm.org/maps/BRA/acre/acrelandia.html	BRA	acre	acrelandia		Pv	Less_than_50pc_callable										None	False	Brazil: Acre	unassigned	SAM	unassigned	unassigned	False	#d3d3d3	#d3d3d3
Brazil12	X0001-PV-MULTI-HUPALO2016	Plácido de Castro	-10.2	-67.2	Brazil	2011	SRR1564700,SRR1568108	Brazil12	30.67	Plácido de Castro	Americas	2011-01-01 0:00:00	year	Brazil12	DS_X0001_Brazil12	OS_X0001_Brazil12	SE_X0001_Brazil12	IN_X0001_Brazil12	57.67	43.02	25.27	0.0	0.52	4457555370	17329936	10162756	667021675	197.7	124.3	100	0.01039192	24.6	42877267	40728103	False	True	True	False	False	True	3.0	Hybrid_selection			https://gadm.org/maps/BRA/acre/placidodecastro.html	BRA	acre	placidodecastro		Pv	Less_than_50pc_callable										None	False	Brazil: Acre	unassigned	SAM	unassigned	unassigned	False	#d3d3d3	#d3d3d3
Brazil13	X0001-PV-MULTI-HUPALO2016	Plácido de Castro	-10.2	-67.2	Brazil	2011	SRR1562973,SRR1564656	Brazil13	28.96	Plácido de Castro	Americas	2011-01-01 0:00:00	year	Brazil13	DS_X0001_Brazil13	OS_X0001_Brazil13	SE_X0001_Brazil13	IN_X0001_Brazil13	74.38	50.48	19.6	0.0	0.44	4297967971	15052366	9311600	398692147	186.0	126.2	100	0.009475223	24.8	41430463	39746951	False	True	True	False	False	True	3.0	Hybrid_selection			https://gadm.org/maps/BRA/acre/placidodecastro.html	BRA	acre	placidodecastro		Pv	Less_than_50pc_callable										None	False	Brazil: Acre	unassigned	SAM	unassigned	unassigned	False	#d3d3d3	#d3d3d3
Brazil15	X0001-PV-MULTI-HUPALO2016	Plácido de Castro	-10.2	-67.2	Brazil	2011	SRR1564632,SRR1565062,SRR1568233	Brazil15	0.46	Plácido de Castro	Americas	2011-01-01 0:00:00	year	Brazil15	DS_X0001_Brazil15	OS_X0001_Brazil15	SE_X0001_Brazil15	IN_X0001_Brazil15	6.67	85.53	13.44	0.0	0.05	140127665	4573398	500109	43777137	232.8	170.8	100	0.01737237	19.1	652228	546547	False	True	True	False	False	True	3.0	Hybrid_selection			https://gadm.org/maps/BRA/acre/placidodecastro.html	BRA	acre	placidodecastro		Pv	Less_than_50pc_callable										None	False	Brazil: Acre	unassigned	SAM	unassigned	unassigned	False	#d3d3d3	#d3d3d3
Brazil17	X0001-PV-MULTI-HUPALO2016	Plácido de Castro	-10.2	-67.2	Brazil	2011	SRR1562872,SRR1567991,SRR1568119,SRR1568124,SRR1568173	Brazil17	16.48	Plácido de Castro	Americas	2011-01-01 0:00:00	year	Brazil17	DS_X0001_Brazil17	OS_X0001_Brazil17	SE_X0001_Brazil17	IN_X0001_Brazil17	29.23	41.17	41.18	0.0	0.66	21964460430	17964621	9420444	16871387339	252.8	254.9	99	0.01160788	24.1	212076990	197325287	False	True	True	False	False	True	3.0	Hybrid_selection			https://gadm.org/maps/BRA/acre/placidodecastro.html	BRA	acre	placidodecastro		Pv	Less_than_50pc_callable										None	False	Brazil: Acre	unassigned	SAM	unassigned	unassigned	False	#d3d3d3	#d3d3d3
Brazil22	X0001-PV-MULTI-HUPALO2016	Plácido de Castro	-10.2	-67.2	Brazil	2011	SRR1562939,SRR1564662	Brazil22	45.77	Plácido de Castro	Americas	2011-01-01 0:00:00	year	Brazil22	DS_X0001_Brazil22	OS_X0001_Brazil22	SE_X0001_Brazil22	IN_X0001_Brazil22	81.33	30.96	21.68	0.0	1.07	7530562938	20723220	14965765	1678799780	191.3	178.9	99	0.009333909	23.9	71019388	64393069	False	True	True	False	False	True	3.0	Hybrid_selection			https://gadm.org/maps/BRA/acre/placidodecastro.html	BRA	acre	placidodecastro		Pv	Less_than_50pc_callable										None	False	Brazil: Acre	unassigned	SAM	unassigned	unassigned	False	#d3d3d3	#d3d3d3
