Sample	in_pv_10
BBH-1-125	False
BBH_1_132	False
BBH_1_137	False
BBH_1_153	False
BBH_1_162	False
Brazil01	False
Brazil02	False
Brazil03	False
Brazil08	False
Brazil12	False
Brazil13	False
Brazil15	False
Brazil17	False
Brazil22	False
Brazil24	False
Brazil25	False
Brazil27	False
Brazil29	False
Brazil30	False
Brazil31	False
Brazil32	False
Brazil33	False
Brazil34	False
Brazil35	False
Brazil87	False
Brazil_Belem	False
Brazil_I	False
Colombia_30101099036	False
Colombia_30101099038	False
Colombia_30101099040	False
Colombia_30102100437	False
Colombia_30102100438-A	False
Colombia_30102100438-B	False
Colombia_30102100439	False
Colombia_30102100440	False
Colombia_30102100441-A	False
Colombia_30102100441-B	False
Colombia_30102100443-A	False
Colombia_30102100443-B	False
Colombia_30102100445	False
Colombia_30102100446	False
Colombia_30102100448	False
Colombia_30102100449	False
Colombia_30102100485	False
Colombia_30102100486	False
Colombia_30102100487	False
Colombia_30102100488	False
Colombia_30102100489	False
Colombia_30102100490	False
Colombia_30102100491	False
Colombia_30102100492	False
Colombia_30102100493	False
Colombia_30102100504	False
Colombia_30103103280	False
Colombia_30103103295	False
Colombia_30111110015	False
Colombia_30111110020	False
Colombia_30111110026	False
HT_1_144	False
HT_1_147	False
HT_1_153	False
HT_2_112	False
IVC09-BB-0012	False
IVC09-OM-0012	False
IVC09-OM-0015	False
IVC09-OM-0018	False
IVC09-OM-0032	False
IVC09-OM-0044	False
IVC09-OM-0046	False
IVC09-OM-0074	False
IVC09-OM-0076	False
IVC09-OM-0078	False
IVC09-OM-0092	False
IVC09-OM-0093	False
IVC09-OM-0099	False
IVC09-OM-0105	False
IVC09-OM-0108	False
IVC09-OM-0114	False
IVC09-OM-0115	False
IVC09-OM-0118	False
IVC09-OM-0124	False
IVC09-OM-0125	False
IVC09-OM-0141	False
IVC09-OM-0142	False
IVC09-OM-0143	False
IVC09-OM-0146	False
IVC09-OM-0164	False
IVC09-OM-0192	False
IVC09-OM-0208	False
IVC09-OM-0214	False
IVC09-OM-0220	False
IVC09-OM-0236	False
IVC09-OM-0244	False
IVC09-OM-0245	False
IVC10-BB-0014	False
IVC10-BB-0016	False
IVC10-BB-0017	False
IVC10-BB-0019	False
IVC10-BB-0021	False
IVC10-BB-0023	False
IVC10-BB-0034	False
IVC10-BB-0035	False
IVC10-OM-0269	False
IVC10-OM-0270	False
IVC10-OM-0271	False
IVC10-OM-0273	False
IVC10-OM-0275	False
IVC10-OM-0282	False
IVC10-OM-0283	False
IVC10-OM-0284	False
IVC10-OM-0292	False
IVC10-OM-0296	False
IVC10-OM-0299	False
IVC10-OM-0300	False
IVC10-OM-0302	False
IVC10-OM-0303	False
IVC10-OM-0304	False
IVC10-OM-0305	False
IVC10-OM-0310	False
IVC10-OM-0312	False
IVC10-OM-0313	False
IVC10-OM-0314	False
IVC10-OM-0317	False
IVC10-OM-0322	False
IVC10-OM-0325	False
IVC10-OM-0339	False
IVC10-OM-0342	False
IVC10-OM-0345	False
IVC11-KP-0014	False
IVC11-KP-0017	False
IVC11-KP-0034	False
IVC11-KP-0053	False
IVC11-OM-0346	False
IVC11-OM-0354	False
IVC11-OM-0355	False
IVC12-KP-0063	False
IVC12-KP-0067	False
IVC12-KP-0068	False
IVC12-KP-0070	False
IVC12-KP-0076	False
IndiaNYC	False
IndiaVII	False
JHC_1_208	False
JHC_2_100	False
JHC_2_216	False
MICH_1_72	False
MICH_2_71	False
Mexico_0202	False
Mexico_11402	False
Mexico_1203	False
Mexico_12400	False
Mexico_1302	False
Mexico_13107	False
Mexico_1504	False
Mexico_15302	False
Mexico_15502	False
Mexico_1905	False
Mexico_2003	False
Mexico_2008	False
Mexico_2202	False
Mexico_3902	False
Mexico_4304	False
Mexico_5002	False
Mexico_7401	False
Mexico_7503	False
Mexico_8301	False
Mexico_8302	False
Myanmar_LZCH-13	False
Myanmar_LZCH-20	False
Myanmar_LZCH-36	False
Myanmar_LZCH-4	False
Myanmar_NB-13-1	False
Myanmar_NB-15	False
Myanmar_NB-16	False
Myanmar_NB-17	False
Nicaragua_462	False
NorthKorean	False
PD0165-C	True
PD0166-C	True
PD0167-C	True
PD0168-C	True
PD0169-C	True
PD0170-C	True
PD0171-C	True
PD0172-C	True
PD0173-C	True
PD0174-C	True
PD0175-C	True
PD0176-C	True
PD0177-C	True
PD0178-C	True
PD0179-C	True
PD0180-C	True
PD0181-C	True
PD0182-C	True
PD0183-C	True
PD0184-C	True
PD0593-C	True
PD0594-C	True
PD0595-C	True
PD0596-C	True
PD0597-C	True
PD0598-C	True
PD0599-C	True
PD0600-C	True
PD0601-C	True
PD0602-C	True
PD0603-C	True
PD0604-C	True
PD0605-C	True
PD0606-C	True
PD0607-C	True
PD0608-C	True
PD0609-C	True
PD0610-C	True
PD0611-C	True
PD0612-C	True
PD0613-C	True
PD0614-C	True
PD0615-C	True
PD0616-C	False
PD0617-C	True
PD0618-C	True
PD0619-C	True
PD0620-C	True
PD0622-C	False
PD0622-Cx	False
PD0623-C	True
PD0624-C	True
PD0625-C	True
PD0647-C	True
PD0661-C	True
PD0673-C	False
PD0674-C	True
PD0675-C	True
PD0676-C	True
PD0677-C	True
PD0678-C	True
PD0679-C	True
PD0680-C	True
PD0681-C	True
PD0682-CW	False
PD0683-C	False
PD0684-C	True
PD0685-C	True
PD0686-C	True
PD0687-C	True
PD0688-C	True
PD0689-C	True
PD0690-C	True
PD0691-C	True
PD0692-C	True
PD0693-C	True
PD0694-C	True
PD0695-C	True
PD0696-C	True
PD0697-C	True
PD0698-C	True
PD0699-C	True
PD0700-C	True
PD0701-C	True
PD0702-C	True
PD0703-C	True
PD0704-C	True
PD0705-C	True
PD0706-C	True
PD0707-C	True
PD0708-C	True
PD0709-C	True
PD0710-C	True
PD0711-C	True
PD0712-C	True
PD0713-C	True
PD0714-C	True
PD0715-C	True
PD1519-C	False
PD1520-C	False
PD1521-C	False
PD1522-C	False
PD1526-C	False
PD1529-C	False
PD1530-C	False
PD1531-C	False
PD1532-C	False
PD1534-C	False
PH0066-CW	False
PH0067-C	True
PH0068-C	True
PH0069-C	False
PH0072-C	False
PH0073-CW	False
PH0075-C	True
PH0076-C	False
PH0078-CW	False
PH0079-CW	False
PH0081-CW	False
PH0082-C	False
PH0083-C	False
PH0084-CW	False
PH0085-C	False
PH0086-C	True
PH0087-CW	False
PH0089-C	True
PH0090-CW	False
PH0096-CW	False
PH0098-C	True
PH0099-CW	False
PH0100-C	False
PH0177-C	True
PH0178-C	True
PH0180-C	True
PH0181-CW	False
