Sample	Study	Site	Site latitude	Site longitude	Country	Year	ENA	All samples same individual	% callable	location_id	continent	date_of_collection	partner_sample_id	derivative_sample_id	original_sample_id	sampling_event_id	individual_id	mean_coverage	bases_no_coverage_percent	bases_low_coverage_percent	bases_excessive_coverage_percent	bases_poor_mapping_quality_percent	bases	bases_of_1X_coverage	bases_of_5X_coverage	bases_duplicated	mean_insert_size	sd_insert_size	avg_read_length	error_rate	average_quality	reads_mapped	reads_properly_paired	genome_50pc_callable	preferred_sample_individual	preferred_sample_sampling_event	in_pv_10	in_pv_20	in_pv_30	first_release	dna_prep	id_run	GADM	GADM_0	GADM_1	GADM_2	Species	public_exclusion_reason	median_distance_to_other_samples	nearest_sample	nearest_sample_dist	nearest_sample_country	nearest_country	nearest_site	nearest_population	nearest_continent	Continent_mismatch	QC_pass	sub_population	analysis_sub_population	population	analysis_population	colouring_sub_population	in_analysis_set	subpopulation_colour	population_colour	fws	can_be_used	belong_to_pair
PD0607-C	1154-PV-TH-PRICE	Tak	16.5	98.7	Thailand	2001	ERR337603	"PD0607-C,PD0623-C"	89.89	Maela	Asia	28/12/2001	VHC588	DS_PD0607-C	OS_1154_VHC588	SE_1154_VHC588	IN_1154_VHX588	123.1	3.72	1.63	0	4.24	3759247421	28250591	27894849	110365400	237.1	73.4	99	0.01774059	27.4	35278693	33944364	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	1	DNA	10061	https://gadm.org/maps/THA/tak.html	THA	tak	NaN	Pv	Analysis_set	0.020384634	Thailand_VKBT_95	0.0164204	Thailand	Cambodia	Oddar Meanchey	ESEA	Asia	None	TRUE	Thailand: Tak	Thailand: Tak	WSEA	WSEA	"WSEA: Thailand, Tak"	TRUE	#377eb8	#377eb8	0.99608284	TRUE	TRUE
PD0620-C	1154-PV-TH-PRICE	Wangpha	16.835	98.538	Thailand	2012	ERR337607	"PD0620-C,PD0677-C"	87.89	Wangpha	Asia	19/04/2012	PID400904	DS_PD0620-C	OS_1154_PID400904	SE_1154_PID400904	IN_1154_PID400904	138.65	5.51	2.4	0	3.68	4070578649	27759525	27161314	97949200	240.4	73.6	99	0.01461013	27.4	39004530	37895097	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	1	DNA	10061	https://gadm.org/maps/THA/tak.html	THA	tak	NaN	Pv	Analysis_set	0.020181319	PD0176-C	0.015985174	Thailand	Thailand	Wangpha	WSEA	Asia	None	TRUE	Thailand: Tak	Thailand: Tak	WSEA	WSEA	"WSEA: Thailand, Tak"	TRUE	#377eb8	#377eb8	0.9994443	TRUE	TRUE
PD0623-C	1154-PV-TH-PRICE	Tak	16.5	98.7	Thailand	2001	ERR337615	"PD0607-C,PD0623-C"	89.85	Maela	Asia	05/12/2012	VHX588	DS_PD0623-C	OS_1154_VHX588	SE_1154_VHX588	IN_1154_VHX588	111.31	3.57	1.95	0	4.11	3390058670	28258186	27823542	84461100	243	71.6	99	0.01702617	27.2	31932419	30770306	TRUE	FALSE	TRUE	TRUE	TRUE	TRUE	1	DNA	10061	https://gadm.org/maps/THA/tak.html	THA	tak	NaN	Pv	Lower_covered_duplicate	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	None	FALSE	Thailand: Tak	unassigned	WSEA	unassigned	unassigned	FALSE	#d3d3d3	#d3d3d3	0.99594903	TRUE	TRUE
PD0677-C	1154-PV-TH-PRICE	Wangpha	16.835	98.538	Thailand	2012	ERR527354	"PD0620-C,PD0677-C"	87.64	Wangpha	Asia	19/04/2012	PID904	DS_PD0677-C	OS_1154_PID904	SE_1154_PID904	IN_1154_PID400904	105.31	6.31	2.07	0	3.46	3038580961	27551351	27041337	33877100	232.1	76.5	99	0.01293752	28	29351622	28681316	TRUE	FALSE	TRUE	TRUE	TRUE	TRUE	1	DNA	12483	https://gadm.org/maps/THA/tak.html	THA	tak	NaN	Pv	Lower_covered_duplicate	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	None	FALSE	Thailand: Tak	unassigned	WSEA	unassigned	unassigned	FALSE	#d3d3d3	#d3d3d3	0.9993004	TRUE	TRUE
PJ0004-C	1157-PV-MULTI-PRICE	Papua Indonesia (returning traveller)	-4.5	137	Indonesia	2010	ERR034096	"PJ0004-C,PJ0005-C,PJ0009-C"	95.29	Papua Indonesia (returning traveller)	Oceania	14/10/2010	RDM_06_culture	DS_PJ0004-C	OS_1157_RDM_06_culture	SE_1157_RDM_06	IN_1157_2170197	135.11	0.12	0.31	0	3.76	4099987437	28886939	28832450	117019252	317.5	83.9	75	0.007095793	33.7	52551256	48705501	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	1	DNA	5756	https://gadm.org/maps/IDN/papua.html	IDN	papua	NaN	Pv	Analysis_set	0.020205669	PNG_PVXMQ2006	0.013039383	Papua New Guinea	Indonesia	Papua Indonesia	MSEA	Oceania	None	TRUE	Indonesia: Papua	Indonesia: Papua	OCE	OCE	"OCE: Indonesia, Papua"	TRUE	#a65628	#a65628	0.9994599	TRUE	TRUE
PJ0005-C	1157-PV-MULTI-PRICE	Papua Indonesia (returning traveller)	-4.5	137	Indonesia	2010	ERR034097	"PJ0004-C,PJ0005-C,PJ0009-C"	94.97	Papua Indonesia (returning traveller)	Oceania	14/10/2010	RDM_06_CF11	DS_PJ0005-C	OS_1157_RDM_06_CF11	SE_1157_RDM_06	IN_1157_2170197	72.06	0.13	0.33	0	4.05	2445793295	28883669	28829535	187667028	287.5	79.3	75	0.007759163	31.5	28463012	24847792	TRUE	FALSE	FALSE	TRUE	TRUE	TRUE	1	DNA	5764	https://gadm.org/maps/IDN/papua.html	IDN	papua	NaN	Pv	Lower_covered_duplicate	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	None	FALSE	Indonesia: Papua	unassigned	OCE	unassigned	unassigned	FALSE	#d3d3d3	#d3d3d3	0.99942094	TRUE	TRUE
PJ0009-C	1157-PV-MULTI-PRICE	Papua Indonesia (returning traveller)	-4.5	137	Indonesia	2010	ERR337630	"PJ0004-C,PJ0005-C,PJ0009-C"	88.69	Papua Indonesia (returning traveller)	Oceania	21/02/2013	RDM_34_cellulose	DS_PJ0009-C	OS_1157_RDM_34_cellulose	SE_1157_RDM_34	IN_1157_2170197	72.12	5.45	1.97	0	3.37	2165691755	27733256	27228576	29541900	238.4	67.1	99	0.01551607	27.8	20367028	19631896	TRUE	FALSE	TRUE	TRUE	TRUE	TRUE	1	DNA	10061	https://gadm.org/maps/IDN/papua.html	IDN	papua	NaN	Pv	Lower_covered_duplicate	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	None	FALSE	Indonesia: Papua	unassigned	OCE	unassigned	unassigned	FALSE	#d3d3d3	#d3d3d3	0.99919534	TRUE	TRUE
PJ0012-CW	1156-PV-ID-PRICE	Papua Indonesia	-4.5	137	Indonesia	2011	NaN	"PJ0012-CW,PJ0012-Cx"	85.16	Papua Indonesia	Oceania	15/03/2011	UVM_2	DS_PJ0012-CW	OS_1156_UVM_2	SE_1156_UVM_2	IN_1156_UVM_2	39.04	7.64	5.49	0	1.2	1164494341	27056357	25652494	15962300	266.3	96.1	99	0.008164032	28.2	11175060	10875671	TRUE	FALSE	FALSE	FALSE	TRUE	TRUE	2	MDA	14323	https://gadm.org/maps/IDN/papua.html	IDN	papua	NaN	Pv	Lower_covered_duplicate	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	None	FALSE	Indonesia: Papua	unassigned	OCE	unassigned	unassigned	FALSE	#d3d3d3	#d3d3d3	0.99932677	TRUE	TRUE
PJ0012-Cx	1156-PV-ID-PRICE	Papua Indonesia	-4.5	137	Indonesia	2011	NaN	"PJ0012-CW,PJ0012-Cx"	85.93	Papua Indonesia	Oceania	15/03/2011	UVM_2	DS_PJ0012-Cx	OS_1156_UVM_2	SE_1156_UVM_2	IN_1156_UVM_2	15.65	7.2	4.89	0	1.46	513143509	27201378	26009777	6654700	259.8	95.6	99	0.01448455	27.7	4434944	4275345	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	1	DNA	12299	https://gadm.org/maps/IDN/papua.html	IDN	papua	NaN	Pv	Analysis_set	0.020462701	PNG_PVXMQ2006	0.013303787	Papua New Guinea	Indonesia	Papua Indonesia	MSEA	Oceania	None	TRUE	Indonesia: Papua	Indonesia: Papua	OCE	OCE	"OCE: Indonesia, Papua"	TRUE	#a65628	#a65628	0.99847376	TRUE	TRUE
PJ0034-CWx	1156-PV-ID-PRICE	Papua Indonesia	-4.5	137	Indonesia	2011	NaN	"PJ0034-CWx,PJ0035-C"	85.61	Papua Indonesia	Oceania	22/08/2011	UVM_25	DS_PJ0034-CWx	OS_1156_UVM_25	SE_1156_UVM_25	IN_1156_UVM_25	135.57	7.85	4.69	0	1.33	4349896878	26995728	25784296	304569200	284.6	249.1	99	0.006298704	28.5	43356984	42045210	TRUE	FALSE	FALSE	FALSE	TRUE	TRUE	2	MDA	14323	https://gadm.org/maps/IDN/papua.html	IDN	papua	NaN	Pv	Lower_covered_duplicate	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	None	FALSE	Indonesia: Papua	unassigned	OCE	unassigned	unassigned	FALSE	#d3d3d3	#d3d3d3	0.99887615	TRUE	TRUE
PJ0035-C	1156-PV-ID-PRICE	Papua Indonesia	-4.5	137	Indonesia	2011	NaN	"PJ0034-CWx,PJ0035-C"	87.84	Papua Indonesia	Oceania	22/08/2011	UVM_25_RECODED	DS_PJ0035-C	OS_1156_UVM_25_RECODED	SE_1156_UVM_25	IN_1156_UVM_25	67.93	6.33	2.27	0	3.05	2023172670	27552736	26962532	25371700	242.4	77.7	99	0.01318831	28.2	19015415	18521587	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	1	DNA	10901	https://gadm.org/maps/IDN/papua.html	IDN	papua	NaN	Pv	Analysis_set	0.020590223	PNG_PVXMQ2006	0.012910117	Papua New Guinea	Papua New Guinea	Madang	MSEA	Oceania	None	TRUE	Indonesia: Papua	Indonesia: Papua	OCE	OCE	"OCE: Indonesia, Papua"	TRUE	#a65628	#a65628	0.9990158	TRUE	TRUE
