,window_start,window_end,variant_counts,unique_allele_counts,unique_alleles_with_missing_index,unique_alleles_with_het_index,unique_allele_frequencies,unique_allele_count,entropy,het
0,34781,34980,4,"[  8   1   1  22   1   1   1   7   5   1   3 251  90  47  19   3   2  61
   2  44   3   1  18   2  15  27   1   1   1  48   1   6]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 23]","[2, 6, 9, 12, 14, 15, 16, 18, 19, 20, 21, 22, 25, 26, 27, 28, 30]","[0.011527377521613832, 0.001440922190201729, 0.001440922190201729, 0.03170028818443804, 0.001440922190201729, 0.001440922190201729, 0.001440922190201729, 0.010086455331412104, 0.007204610951008645, 0.001440922190201729, 0.004322766570605188, 0.361671469740634, 0.12968299711815562, 0.06772334293948126, 0.027377521613832854, 0.004322766570605188, 0.002881844380403458, 0.08789625360230548, 0.002881844380403458, 0.06340057636887608, 0.004322766570605188, 0.001440922190201729, 0.025936599423631124, 0.002881844380403458, 0.021613832853025938, 0.03890489913544669, 0.001440922190201729, 0.001440922190201729, 0.001440922190201729, 0.069164265129683, 0.001440922190201729, 0.008645533141210375]",32,2.2995365836807347,0.8263875623915156
1,34831,35030,1,[ 15 330 161 188],[0],[2],"[0.021613832853025938, 0.4755043227665706, 0.23198847262247838, 0.27089337175792505]",4,1.129102334047099,0.6462266109676187
2,35031,35230,1,[  4 107 269 314],[0],[2],"[0.005763688760806916, 0.15417867435158503, 0.38760806916426516, 0.45244956772334294]",4,1.044165589584629,0.6212450896527668
3,35281,35480,1,[  5  31 274 384],[0],[2],"[0.007204610951008645, 0.0446685878962536, 0.39481268011527376, 0.553314121037464]",4,0.8687765221131036,0.5359192419171324
4,35331,35530,3,[  3   2  30   1   9 158   2  12  93  46 196   2  33 107],"[0, 1, 4, 9]","[4, 5, 6, 7, 8, 12]","[0.004322766570605188, 0.002881844380403458, 0.043227665706051875, 0.001440922190201729, 0.012968299711815562, 0.2276657060518732, 0.002881844380403458, 0.01729106628242075, 0.1340057636887608, 0.06628242074927954, 0.2824207492795389, 0.002881844380403458, 0.04755043227665706, 0.15417867435158503]",14,1.9221380660720468,0.8176423689259109
5,35481,35680,2,[ 58 386   4  45 201],[0],[3],"[0.08357348703170028, 0.5561959654178674, 0.005763688760806916, 0.06484149855907781, 0.2896253602305475]",5,1.0997223996579064,0.5955410309860559
6,40181,40380,1,[  7 325   3 359],[0],[2],"[0.010086455331412104, 0.46829971181556196, 0.004322766570605188, 0.5172910662824207]",4,0.7661418025329596,0.5129849097658813
7,42481,42680,1,[ 10 486   3 195],[0],[2],"[0.01440922190201729, 0.7002881844380403, 0.004322766570605188, 0.28097982708933716]",4,0.6908091464844481,0.4304204835186739
8,43131,43330,1,[  2 299   3 390],[0],[2],"[0.002881844380403458, 0.430835734870317, 0.004322766570605188, 0.5619596541786743]",4,0.7270368193984769,0.49855492529628187
9,43281,43480,2,[  1   1   1 162   2 134   1   1   1 139 251],"[0, 1, 2, 6]","[4, 6, 7, 8]","[0.001440922190201729, 0.001440922190201729, 0.001440922190201729, 0.2334293948126801, 0.002881844380403458, 0.1930835734870317, 0.001440922190201729, 0.001440922190201729, 0.001440922190201729, 0.20028818443804033, 0.361671469740634]",11,1.4204719629715996,0.737287079869445
10,43331,43530,1,[  3 301   3 387],[0],[2],"[0.004322766570605188, 0.43371757925072046, 0.004322766570605188, 0.5576368876080692]",4,0.7350624221437702,0.5008927904060327
11,45831,46030,1,[  5 478   2 209],[0],[2],"[0.007204610951008645, 0.6887608069164265, 0.002881844380403458, 0.3011527377521614]",4,0.6706343917534158,0.43485536795422275
12,52231,52430,1,[ 36 117   2 539],[0],[2],"[0.05187319884726225, 0.1685878962536023, 0.002881844380403458, 0.776657060518732]",4,0.6667889356698783,0.3656827977975069
13,52531,52730,1,[  4 215   4 471],[0],[2],"[0.005763688760806916, 0.30979827089337175, 0.005763688760806916, 0.6786743515850144]",4,0.6855329212875835,0.4433597156358744
14,53081,53280,1,[  7 485   6 196],[0],[2],"[0.010086455331412104, 0.6988472622478387, 0.008645533141210375, 0.2824207492795389]",4,0.6949292902292594,0.4316745426006361
15,56031,56230,2,[  2   1 565   6   2 118],"[0, 1]",[4],"[0.002881844380403458, 0.001440922190201729, 0.8141210374639769, 0.008645533141210375, 0.002881844380403458, 0.17002881844380405]",6,0.5528891516850528,0.3082037057030621
