,chrom,window_start,window_end,variant_counts,unique_allele_counts,unique_alleles_with_missing_index,unique_alleles_with_het_index,unique_allele_frequencies,unique_allele_count,entropy,het
0,PvP01_12_v1,58451,58650,1,[378   2 235],[],[1],"[0.6146341463414634, 0.0032520325203252032, 0.3821138211382114]",3,0.6853964204419627,0.47620331813074224
1,PvP01_12_v1,60851,61050,1,[ 36 233   7 339],[0],[2],"[0.05853658536585366, 0.37886178861788616, 0.011382113821138212, 0.551219512195122]",4,0.9131116191714153,0.5490647101592967
2,PvP01_12_v1,60901,61100,2,[ 16  20   1 232   7   1 338],"[0, 1, 2]","[4, 5]","[0.026016260162601626, 0.032520325203252036, 0.0016260162601626016, 0.3772357723577236, 0.011382113821138212, 0.0016260162601626016, 0.5495934959349593]",7,0.9749067898062775,0.5537709035626942
3,PvP01_12_v1,61051,61250,1,[ 17 252   8 338],[0],[2],"[0.027642276422764227, 0.4097560975609756, 0.013008130081300813, 0.5495934959349593]",4,0.8502307199877643,0.5291136228435456
4,PvP01_12_v1,61251,61450,1,[  1 383   4 227],[0],[2],"[0.0016260162601626016, 0.6227642276422765, 0.0065040650406504065, 0.36910569105691055]",4,0.706002377938314,0.47588075880758796
5,PvP01_12_v1,71251,71450,1,[167 448],[],[],"[0.27154471544715447, 0.7284552845528456]",2,0.5847892030983691,0.3956163659197567
6,PvP01_12_v1,71601,71800,1,[  1 517   4  93],[0],[2],"[0.0016260162601626016, 0.8406504065040651, 0.0065040650406504065, 0.15121951219512195]",4,0.47476845247547683,0.2703946063850883
7,PvP01_12_v1,72401,72600,1,[  1 437   7 170],[0],[2],"[0.0016260162601626016, 0.7105691056910569, 0.011382113821138212, 0.2764227642276423]",4,0.6596094034183804,0.4185498050102453
8,PvP01_12_v1,72651,72850,1,[  4 404   1 206],[0],[2],"[0.0065040650406504065, 0.656910569105691, 0.0016260162601626016, 0.33495934959349594]",4,0.6855909199830417,0.456225791526208
9,PvP01_12_v1,77851,78050,1,[480 135],[],[],"[0.7804878048780488, 0.21951219512195122]",2,0.5262898694941316,0.34265318262938727
10,PvP01_12_v1,81451,81650,1,[  3 224   5 383],[0],[2],"[0.004878048780487805, 0.3642276422764228, 0.008130081300813009, 0.6227642276422765]",4,0.7278838240668575,0.4794130477890144
11,PvP01_12_v1,83851,84050,1,[346   8 261],[],[1],"[0.5626016260162602, 0.013008130081300813, 0.424390243902439]",3,0.7438284876201207,0.5032031198360765
12,PvP01_12_v1,83901,84100,2,[337   9   1   7   6   1 254],[],"[2, 3, 5]","[0.5479674796747968, 0.014634146341463415, 0.0016260162601626016, 0.011382113821138212, 0.00975609756097561, 0.0016260162601626016, 0.41300813008130083]",7,0.8736583647069476,0.5287117456540419
13,PvP01_12_v1,84051,84250,1,[344   8 263],[],[1],"[0.5593495934959349, 0.013008130081300813, 0.4276422764227642]",3,0.7447234500298678,0.5040809042236765
14,PvP01_12_v1,84151,84350,1,[496   1 118],[],[1],"[0.8065040650406504, 0.0016260162601626016, 0.191869918699187]",3,0.5006426818837333,0.3127344834423954
15,PvP01_12_v1,87951,88150,1,[  1 166   2 446],[0],[2],"[0.0016260162601626016, 0.26991869918699185, 0.0032520325203252032, 0.7252032520325203]",4,0.6155758941004128,0.4012109194262674
16,PvP01_12_v1,88101,88300,2,[  1 161   1   4   1   1   1 290   3 152],"[0, 6]","[2, 4, 5, 8]","[0.0016260162601626016, 0.26178861788617885, 0.0016260162601626016, 0.0065040650406504065, 0.0016260162601626016, 0.0016260162601626016, 0.0016260162601626016, 0.4715447154471545, 0.004878048780487805, 0.24715447154471545]",10,1.161715887471612,0.6479476502082094
17,PvP01_12_v1,88151,88350,2,[  1 356   4  93   3   1  89  68],[0],"[2, 4, 5]","[0.0016260162601626016, 0.5788617886178862, 0.0065040650406504065, 0.15121951219512195, 0.004878048780487805, 0.0016260162601626016, 0.14471544715447154, 0.11056910569105691]",8,1.2049340268062005,0.6088122149514179
